clue	inflected stimulus	stimulus
? siempre se tienen que hacer, pero nadie los quiere hacer, si no lo haces vivirás en la mugre, si lo haces, vivirás en un lugar limpio	los quehaceres domésticos	los quehaceres domésticos
En casa turnamos ? para que todos tengan responsabilidad y no sólo mamá.	los quehaceres domésticos	los quehaceres domésticos
La trabajadora domestica me ayuda con ?.	los quehaceres domésticos	los quehaceres domésticos
Hay mujeres que se dedican a hacer ?, no trabajan.	Los quehaceres domésticos	los quehaceres domésticos
Si quieres espérame ? porque afuera está lloviendo.	dentro de la casa	dentro de la casa
Como afuera hace mucho sol, me quedaré ?	dentro de la casa	dentro de la casa
El perro no esta ? por que esta en el patio.	dentro de la casa	dentro de la casa
El jardín está fuera de la casa, mientras que las habitaciones están ?	dentro de la casa	dentro de la casa
en verano no es bueno quedarse ? y mas bien hay que salir a disfrutar del aire libre	dentro de la casa	dentro de la casa
hoy estuve todo el dia ? ya que afuera estuvo lloviendo	dentro de la casa	dentro de la casa
El crimen fue cometido ? de la victima cuando entraron para robarle.	dentro de la casa	dentro de la casa
Si no esta fuera de la casa, tiene que estar ? .	dentro de la casa	dentro de la casa
? en la parte interior de la vivienda.	dentro de lacasa	dentro de la casa
Tenemos que trabajar en el piso, pero empezamos ?, para poder dormir esta noche en el.	arreglando el dormitorio	arreglar el dormitorio
Cuando te levantes aprovecha y ponte a ? para que no parezcas desordenado.	arreglar el dormitorio	arreglar el dormitorio
Antes de irte a la escuela no te olvides de ? para que esté ordenado cuando regreses.	arreglar el dormitorio	arreglar el dormitorio
? todos los niños tienen que hacerlo, pero ninguno quiere	arreglar el dormitorio	arreglar el dormitorio
para que se vea bonito mi cuarto quiero ?	arreglar el dormitorio	arreglar el dormitorio
tienes que ? antes de que salgas a jugar, tu dormitorio no p uede estar asi	arreglar el dormitorio	arreglar el dormitorio
No puedo encontrar ni mis zapatos en este desorden, deberia ? para poder encontrar tambien la cama al irme a dormir.	arreglar el dormitorio	arreglar el dormitorio
Si duermes con el dormitorio sucio y desordenado, tienes que ? .	arreglar el dormitorio	arreglar el dormitorio
? era la tarea que nos correspondía, de los quehaceres del hogar, después de todo era nuestro dormitorio.	arreglar el dormitorio	arreglar el dormitorio
Trae la escoba para ?.	barrer el suelo	barrer el suelo
Tienes que ? cada vez que encuentres basura en el.	barrer el piso	barrer el suelo
La escoba se usa para ? y eliminar el polvo.	barrer el suelo	barrer el suelo
Una escoba sirve para ?	Una escoba sirve para barrer el suelo.	barrer el suelo
se usa la escoba y una pala cada al ?	barrer el suelo	barrer el suelo
Esta tan sucio el piso, y ahora tengo que ? con la escoba.	barrer el suelo	barrer el suelo
La escoba se usa para ?	barrer el suelo	barrer el suelo
Quiero ? pero se rompió la escoba.	Barrer el suelo	barrer el suelo
Hay ciertas ? que son más elegantes que otras.	áreas de la ciudad	áreas de la ciudad
Los turistas se han interesado en conocer todas las ?	áreas de la ciudad	áreas de la ciudad
En Manhattan, muchas de las ? son seguras, pero dicen que Harlem es peligrosa.	áreas de la ciudad	áreas de la ciudad
el centro, el suburbio y la villa son ?	áreas de la ciudad	áreas de la ciudad
las ? que me gustan mas son las mas alejadas	areas de la ciudad	áreas de la ciudad
? Partes de una población	áreas de la ciudad.	áreas de la ciudad
Estas son las ? donde no debe ir por las noches.	áreas de la ciudad	áreas de la ciudad
El centro y las afueras son ?.	Áreas de la ciudad	áreas de la ciudad
En ciertas ? es mejor no entrar, te roban fácilmente.	áreas de la ciudad	áreas de la ciudad
A mi me gusta ? de mi casa.	barrer el piso	barrer el piso
Se cayeron todas las migajas tendrás que ?.	barrer el piso	barrer el piso
Cada vez que encuentres tantas pelusas en la casa, debes saber que tienes que ?	barrer el piso	barrer el piso
que es lo que se hace con una escoba?	barrer el piso	barrer el piso
si echamos basura al suelo tendremos que ?	barrer el piso	barrer el piso
Con una escoba se puede ?.	barrer el piso	barrer el piso
Coge la escoba y empieza a ?	barrer el piso	barrer el piso
Primero hay que ? Para después trapearlo.	Barrer el piso	barrer el piso
Para ? necesitamos otra escoba, esta ya tiene sus años.	barrer el piso	barrer el piso
Cuando no estas adentro, estas ? .	afuera	las afueras
En ? de la ciudad se encuentra el basurero público.	las afueras	las afueras
Me siento bien en el centro de la ciudad, pero prefiero vivir en ? porque es más tranquilo.	las afueras	las afueras
En ? de la ciudad también hay muchas areas peligrosas.	las afueras	las afueras
Si conduces hasta los limites de la ciudad llegarás a ?	las afueras	las afueras
la gente que vive en el campo no vive en la ciudad, entonces en donde vive?	las afueras	las afueras
Yo vivo en ? , lejos del centro.	Yo vivo en las afueras, lejos del centro.	las afueras
? son las partes externas que rodean a la casa	las afueras	las afueras
en ? de la ciudad hay muchos robos.	las afueras	las afueras
Hay mejores servicios en el centro que ? de la ciudad.	las afueras	las afueras
Después de lavar se debe ? en el  closet.	guardar la ropa	guardar la ropa
Ya la doblé toda ahora tendré que ?.	guardar la ropa	guardar la ropa
Usare el closep para ? y los zapatos.	guardar la ropa	guardar la ropa
Para ? se necesita un clóset.	guardar la ropa	guardar la ropa
en la tienda al final del día los empleados deben ? que los clientes se probaron y no compraron	guardar la ropa	guardar la ropa
Tengo que ? en mis gavetas por que no tengo mas espacio en mi armario.	guardar la ropa	guardar la ropa
Si cuando te vistes sacas toda la ropa, más vale que luego ? .	guardes la ropa	guardar la ropa
Después de planchar toca ?	guardar la ropa	guardar la ropa
? es más peligroso que el otro.	Ese barrio	el barrio
? donde vivo es muy peligroso.	el barrio	el barrio
Cuando visito ? de mi niñez, y veo las calles y las casas, me pongo nostálgico.	el barrio	el barrio
La vida en ? era de buena vecindad.	e barrio	el barrio
Los pueblos grandes o sus distritos se dividen en ?	barrios	el barrio
? es un parte grande o pequeno de un ciudad.	el barrio	el barrio
En ? dónde vivo la gente sale a pasear a sus perros los fines de semana.	El barrio	el barrio
El ? chino de San Francisco es el más grande de Estados Unidos.	el barrio	el barrio
Las tiendas y los centros comerciales se encuentran en ?.	el barrio comercial	el barrio comercial
Por lo peligroso que resultan todos estos barrios, todos piensan que los van a engañar en ?	el barrio comercial	el barrio comercial
todo lo que necesites lo puedes comprar en ese barrio, cual es?	el barrio comercial	el barrio comercial
El supermercado está en ?	El supermercado está en el barrio comercial.	el barrio comercial
? es donde hay mucho negocios	el barrio comercial	el barrio comercial
? de una ciudad esta lleno de tiendas y centros comerciales.	El barrio comercial	el barrio comercial
Mi oficina está en ? de la ciudad.	El barrio comercial	el barrio comercial
Durante el viaje llegamos a ? donde compramos alimentos.	un barrio comercial	el barrio comercial
Aquí en ? sólo hay tiendas y comercios.	el barrio comercial	el barrio comercial
Tener un negocio en ? es costoso, pero tenerlo fuera de esa zona, lo es aún más.	el barrio comercial	el barrio comercial
El carpintero tendrá que ? para el lunes.	hacer la cama	hacer la cama
Te traje estas sábanas para ?.	hacer la cama	hacer la cama
Después de levantarte debes ?, para mantener la habitación en orden.	hacer la cama	hacer la cama
? se hace cuando uno despierta y no es lavarse los dientes, tiene que ver con la cama y las sábanas	hacer la cama	hacer la cama
para dormir bien es importante ?	hacer la cama	hacer la cama
Si tu cama no tiene sabanas, no tendrás que ? .	hacer la cama	hacer la cama
? Organizar la cama.	hacer la cama	hacer la cama
Al ?, encontré lo que andaba buscando.	hacer la cama	hacer la cama
No creo ? porque están todos limpios.	lavar los platos	lavar los platos
Como se van a ? , a mano o en el lavaplatos.	lavar los platos	lavar los platos
Después de cenar hay que limpiar el comedor y ?.	lavar los platos	lavar los platos
? es una tarea que deja la cocina limpia.	lavar los platos	lavar los platos
cocinar, comer y luego ? son las tareas rutinarias	lavar los platos	lavar los platos
Después de comer se ?	lavan los platos	lavar los platos
tengo que ? despues de comer!	lavar los platos	lavar los platos
Después de comer, hay que ? .	lavar los platos	lavar los platos
Yo uso el lavavajillas para ?	lavar los platos	lavar los platos
No pude  ? en la noche porque se me acabó el jabón lavavajillas.	lavar los platos	lavar los platos
José vive en ?.	el barrio residencial	el barrio residencial
No creo ir ? porque tengo que ir a la tienda.	al barrio residencial	el barrio residencial
Si quieres una casa barata, debes comprarla en ? , que tiene residencias excelentes y no deja de ser un barrio barato.	el barrio residencial	el barrio residencial
? es donde están las casas construidas y listas para ser habitadas.	el barrio residencial	el barrio residencial
cual es el barrio de la ciudad en donde vive toda la gente?	el barrio residencial	el barrio residencial
Yo vivo en un ? muy tranquilo.	Yo vivo en un barrio residencial muy tranquilo.	el barrio residencial
? es donde están las buenas casas y las calles tranquilas	el barrio residencial	el barrio residencial
el residencial cerca a su residencia es lo que estoy llamado por	Usted no puede cambiar, porque estoy ? cerca de su residencia	el barrio residencial
? es un conjunto de casas o lugar donde vive la gente.	El barrio residencial	el barrio residencial
Voy a ir de compras al ? aunque lo difícil es encontrar estacionamiento.	al centro de la ciudad	el centro de la ciudad
Estas calles nos llevarán hacia ?	el centro de la ciudad	el centro de la ciudad
? es donde se encuentran las mayores atracciones y edificios de la ciudad.	el centro de la ciudad	el centro de la ciudad
?adonde se encuentra ubicado lo importante de una ciudad	en el centro	el centro de la ciudad
para trabajar cada día debemos ir hasta ?	el centro de la ciudad	el centro de la ciudad
en ? hay muchas cosas culturales pero queda muy lejos de los suburbios.	el centro de la ciudad	el centro de la ciudad
El casco histórico está en ? .	el centro de la ciudad	el centro de la ciudad
Tomé el tren para ir al ? porque ahí hay más tiendas de ropa.	Centro de la ciudad	el centro de la ciudad
María para ? la separa por colores.	lavar la ropa	lavar la ropa
Cuando no tengas ropa que ponerte, usa tu mismo la lavadora para ? que tienes sucia.	lavar la ropa	lavar la ropa
Cuando vayas a ? , es importante que no le pongas Clorox a la ropa de color.	lavar la ropa	lavar la ropa
Las camisas estan sucios, necisito ?	lavar la ropa	lavar la ropa
Es bueno ? frecuentemente para que ésta no huela mal.	lavar la ropa	lavar la ropa
? Usar agua y jabón en mis vestidos	lavar la ropa	lavar la ropa
Hace días que tengo que ? pero no encuentro el momento	lavar la ropa	lavar la ropa
De las tareas del hogar, la que menos me agrada es ?.	lavar la ropa.	lavar la ropa
Para ? en la lavadora, cada residente tiene un día asignado.	lavar la ropa	lavar la ropa
Hoy tendré que ? porque la tina está llena de jabón.	limpiar el baño	limpiar el baño
De limpiar toda la casa, lo más difícil para mi es tener que ?	limpiar el baño	limpiar el baño
Hay que ? cuando la ducha y el lavamanos estan sucios.	limpiar el baño	limpiar el baño
cual es el quehacer doméstico que nadie quiere hacer?	limpiar el baño	limpiar el baño
debemos ? para que no se acumulen bacterias	limpiar el baño	limpiar el baño
Le pidio que limpiara la cocina, el dormitorio, el comedor y que no se olidara de ?	limpiar el baño	limpiar el baño
No me gusta ? por que necesito usar productos químicos, como el Clorox.	limpiar el baño	limpiar el baño
? Lavar el lugar de la casa donde me aseo.	limpiar el baño	limpiar el baño
Lo que menos me gusta de los quehaceres domésticos, es  ?, especialmente el inodoro.	limpiar el baño	limpiar el baño
? Cuando la entrada yo les prohíbo, son muchos golpes los que recibo.	Puerta	los suburbios
Mis amigos viven en ? de la ciudad.	los suburbios	los suburbios
? de las grandes ciudades son peligrosos,	los suburbios	los suburbios
Me mude de la ciudad a ?.	los suburbios	los suburbios
como se les llama a las zonas residenciales de la periferia urbana?	los suburbios	los suburbios
? de Nueva York son grandes y famosos	los suburbios	los suburbios
Las casas en en centro de la ciudad son mas pequeñas que las que están en ?	los suburbios	los suburbios
El campo me parece muy aburrido, y la ciudad my ruidosa, por eso prefiero los ?	suburbios	los suburbios
La gente con menos recursos se ve obligada a vivir en ? de la ciudad.	los suburbios	los suburbios
? son muy aburridos, prefiero vivir en la ciudad.	Los suburbios	los suburbios
A Maria le gusta ? y cocinar la cena.	pasar la aspiradora	pasar la aspiradora
Cuando está sucia la alfombra es necesario ? para que quede limpia.	pasar la aspiradora	pasar la aspiradora
Debo ? a mi automóvil, porque anoche estuve en la playa.	pasar la aspiradora	pasar la aspiradora
? hace ruido, pero deja la alfombra libre de sucio.	pasar la aspiradora	pasar la aspiradora
cuando hay mucho polvo en el piso es bueno ?	pasar la aspiradora	pasar la aspiradora
Tienes que ? para que qede limpia la alfombra	pasar la aspiradora	pasar la aspiradora
Para limpiar la alfombra se debe ?.	pasar la aspiradora	pasar la aspiradora
Cuando cae harina al piso lo más práctico es ? en vez de barrer.	pasar la aspiradora	pasar la aspiradora
Tuve que ? varias veces para dejar la alfombra bien limpia.	pasar la aspiradora	pasar la aspiradora
We are friends with ? across the street.	los vecinos	los vecinos
Ve con ? a ver si te prestan la manguera.	los vecinos	los vecinos
Esa música tan alta molestará a todos ?	los vecinos	los vecinos
? no son tu familia, pero son los más cercanos a ti.	los vecinos	los vecinos
hay gente que vive en tu casa, y gente que vive a los lados, como se llaman los que viven al lado?	los vecinos	los vecinos
? de mi casa son muy ruidosos.	Los vecinos de mi casa son muy ruidosos.	los vecinos
? son quienes viven en la casa del lado.	Los vecinos	los vecinos
La casa de ? esta nada mas dies pies de la mia.	mis vecinos	los vecinos
Tratamos de no hacer mucho ruido porque ? se quejan.	los vecinos	los vecinos
La mejor manera de ? toda esta ropa, es con una plancha a vapor.	planchar	planchar
Voy a ? tu ropa por que esta estrujada.	planchar	planchar
? sirve para dejar la ropa lisa y sin arrugas.	planchar	planchar
para desarrugar la ropa hay que ?	planchar	planchar
? es darle calor a la ropa para que se estire.	planchar	planchar
Yo no voy a ? mi ropa por que el material no se estruja.	planchar	planchar
No me gusta nada tener que ? mis camisas.	planchar	planchar
? desarrugar la ropa	planchar	planchar
Carolina va a vender ? de sus papas.	la casa	la casa
Voy a comprar ? de mama con un préstamo para la vivienda a 20 años.	la casa	la casa
? de ellos tiene tres pisos y una piscina.	La casa	la casa
? es donde vives tú, y vive el vecino.	la casa	la casa
? es el lugar donde vive la gente, aunque también hay de perros y otros animales	la casa	la casa
? tiene puertas, ventanas, techo y cuartos	la casa	la casa
? te refugia de la lluvia y del frio, además puedes ver la tele allí.	La casa	la casa
No podemos salir de ? porque la nieve tapa la puerta de entrada.	la casa	la casa
? de al lado siempre me causó escalofríos.	la casa	la casa
Para ? hay que organizarlos.	poner los juguetes en su lugar	poner los juguetes en su lugar
Cada vez que terminen de jugar deben ?	poner los juguetes en su lugar	poner los juguetes en su lugar
El niño sabe que tiene que ? después de jugar.	poner los juguetes en su lugar	poner los juguetes en su lugar
El niño nunca se acordaba de ? después de jugar.	poner los juguetes en su lugar	poner los juguetes en su lugar
Tu mamá siempre quiere que ? cuando acabas de jugar con ellos (tus juguetes).	pones los juguetes en su lugar	poner los juguetes en su lugar
Despues de jugar, los niños tienen que ? o están castigados.	poner los juguetes en su lugar	poner los juguetes en su lugar
El niño pequeño estuvo jugando en su cuarto, y ahora la madre tiene que ? .	poner los juguetes en su lugar	poner los juguetes en su lugar
Después de jugar los niños deben ?.	poner los juguetes en su lugar	poner los juguetes en su lugar
Mi esposo y yo tuvimos que ?; los niños después de jugar, los dejaron regados en el piso.	poner los juguetes en su lugar	poner los juguetes en su lugar
Ve ? a lavarte los dientes antes de dormir.	al baño	el baño
Cuando quieras bañarte usa tienes que usar ?	el baño	el baño
? tiene dos lavamanos, ducha y bañera.	el baño	el baño
Cuando quieres lavarte las manos tienes que ir a ?	el baño	el baño
donde se encuentra el asiento mas cómodo de la casa?	el baño	el baño
? tiene inodoro, videt, tina y lavamanos	el baño	el baño
En ? suele haber un retrete y un lavabo.	el baño	el baño
El  ? es bastante amplio y cuenta con un tina.	el baño	el baño
?algo que se hace antes y despues de cada comida en familia.	poner y quitar la mesa	poner y quitar la mesa
Como mesero tendrás que ?.	poner y quitar la mesa	poner y quitar la mesa
Yo preparo la comida y tu deber será ?	poner y quitar la mesa	poner y quitar la mesa
? es lo que se debe hacer antes y después del almuerzo.	poner y quitar la mesa	poner y quitar la mesa
? para poder comer diariamente hay que...	poner y quitar la mesa	poner y quitar la mesa
El mesero está encargado de ?	poner y quitar la mesa	poner y quitar la mesa
Cuando la comida esta lista y se va a comer en el comedor, y también despues de terminar de comer, se ha de ? .	poner y quitar la mesa	poner y quitar la mesa
? lo que debes hacer en el comedor antes y después de la cena	poner y quitar la mesa	poner y quitar la mesa
Los niños serán los encargados de ? en las comidas	poner y quitar la mesa	poner y quitar la mesa
Mi mamá dice que papa noel baja por la ? para entregar los regalos.	la chimenea	la chimenea
Sólo quedan cenizas en ?.	la chimenea	la chimenea
? necesita más leña.	la chimenea	la chimenea
En el invierno, se puede ver bastante humo en ?.	las chimeneas	la chimenea
La casa tiene una hermosa y larga ? hecha de ladrillo.	chimenea	la chimenea
Por el techo de la casa sale el humo de ?	la chimenea	la chimenea
? conducto por donde sale la lava de los volcanes	la chimenea	la chimenea
Los que están cerca de ? de la casa se mantienen calientitos en invierno.	la chimenea	la chimenea
Para ? necesito todos los ingredientes necesarios.	preparar la comida	preparar la comida
Para que no mueras de hambre cuando llegue la hora de comer, debes empezar a ? desde ahora.	preparar la comida	preparar la comida
Tengo que ? antes de que a mi marido le de hambre.	preparar la comida	preparar la comida
Mi hermana está en la cocina ayudando a mi madre a ?	preparar la comida	preparar la comida
? es algo que los chefs hacen todos los días	preparar la comida	preparar la comida
cocinar es conocido como el arte de ?	preparar la comida	preparar la comida
Si vas de picnic, tendras que ? .	preparar la comida	preparar la comida
? Disponer los alimentos para ser cosnsumidos	preparar la comida	preparar la comida
Ya no tengo tiempo para ?, creo que me quedaré sin comer hoy.	preparar la comida	preparar la comida
Guarda tu ropa en ? para que no se arrugue.	el clóset	el clóset
Coloca esos zapatos en ?, junto con la ropa	el clóset	el clóset
? mio es bien chiquito, por que en Nueva York no hay espacio para ropa.	El clóset	el clóset
en donde se guardan todos los zapatos y la ropa? también se pueden esconder los monstruos...	el clóset	el clóset
Homosexual que oculta su identidad se dice que está dentro de ?	el clóset	el clóset
? esta lleno de ganchos y de ropa que no utilizo	el closet	el clóset
Toda vía no he colgado mi ropa en ?.	el clóset	el clóset
Mi camisa está colgada en ?	el clóset	el clóset
? armario empotrado.	el clóset	el clóset
En ? no cabían más cosas, tuve que guardar algo de ropa en la cómoda.	el clóset	el clóset
Se ve que no haz de ? porque están llenos de polvo.	sacudir los muebles	sacudir los muebles
Si tienes que desempolvar la sala y se te ha dañado la aspiradora lo que debes hacer es ? y sacudir también la alfombra.	sacudir los muebles	sacudir los muebles
Si vas a comer en el sofa, vas a tener que ? después.	sacudir los muebles	sacudir los muebles
Se deben ? para poder quitarles cualquier sucio que puedan tener, antes de sentarnos en ellos.	sacudir los muebles	sacudir los muebles
Tienes que ? para que no tengan polvo.	sacudir los muebles	sacudir los muebles
Compré un plumero para ?	sacudir los muebles	sacudir los muebles
lo haces cuando cuando sus sillas y mesas son demasiado polvo?	Que sea limpio	sacudir los muebles
Mis muebles tienen mucho polvo, creo que es hora de ?	sacudir los muebles	sacudir los muebles
Tengo que ? antes que ellos se sienten, creo que están llenos de polvo.	sacudir los muebles	sacudir los muebles
Me mandaron a ? que están llenos de polvo. Sobre todo esta mesa y la vidriera.	sacudir los muebles	sacudir los muebles
La licuadora esta en ?.	La cocina	la cocina
Cuando termines de cocinar debes limpiar toda ?	la cocina	la cocina
? es bien caliente cuando la estufa es ta en uso.	La cocina	la cocina
? es donde están el refrigerador, el lavaplatos y e mesón	la cocina	la cocina
Los platos y las cazuelas van en ?	la cocina	la cocina
En ? se encuentra el congelador y los vasos.	la cocina	la cocina
? Lugar de un restaurante en el que el se desempeña el chef.	la cocina	la cocina
? de mi hogar es muy amplia.	La cocina	la cocina
Los cubiertos y platos están en ?.	La cocina	la cocina
Después de barrer hay que ?.	trapear el piso	trapear el piso
Se cayó el agua así que tendré que ?.	trapear el piso	trapear el piso
Antes de que lleguen los invitados debemos ? para que se vea limpio.	trapear el piso	trapear el piso
que es lo que se hace en la casa con agua después de barrer?	trapear el piso	trapear el piso
El trapo sirve para ?	trapear el piso	trapear el piso
tengo que ? porque ya esta muy lleno de polvo,  has visto el trapeador?	trapear el piso	trapear el piso
Se me cayó el jugo en el piso, y ahora estoy ? para que no se haga pegajoso.	trapeando el piso	trapear el piso
Un conserje se la pasa barriendo y ?.	Trapeando el piso	trapear el piso
Después de la fiesta tuve que ?, habían regado cerveza.	trapear el piso	trapear el piso
Mi hermana esta ?.	fuera de la casa	fuera de la casa
Te quedarás sola todo el día, porque yo voy a estar ?	fuera de la casa	fuera de la casa
Yo no quiero ir ? por que hay tanto calor hoy.	fuera de la casa	fuera de la casa
Los zapatos se dejan ? para no ensuciar la alfombra.	fuera de la casa	fuera de la casa
todo lo que no está adentro de mi hogar entonces está...?	fuera de la casa	fuera de la casa
se enojó y lo echó ?	fuera de la casa	fuera de la casa
? cuando salgo de mi casa estoy...	fuera de la casa	fuera de la casa
En gran hermano echan a la gente ?	fuera de la casa	fuera de la casa
Le construimos un lugar para dormir a mi perro ?	fuera de la casa	fuera de la casa
? de mi casa es de madera y muy bonito.	el comedor	el comedor
La cena la serviré en ? para que sea más elegante.	el comedor	el comedor
Ella come siempre en ? de su universidad.	el comedor	el comedor
? es el cuarto adonde comemos nuestras senas.	El comedor	el comedor
Mi madre sirvió todo tipo de platos de comida en ?	el comedor	el comedor
se duerme en el dormitorio y se come en el ?	comedor	el comedor
? es un lugar donde se sirve la comida.	El comedor	el comedor
? lugar de la casa en donde nos reunimos a comer.	el comedor	el comedor
? es el lugar donde hay una mesa y sillas.	El comedor	el comedor
Hace poco cambiamos ?, necesitábamos más espacios para cuando hubiera invitados.	el comedor	el comedor
Ya compré la podadora para ?.	cortar el césped	cortar el césped
El jardín necesita un mantenimiento, pero sólo le voy a ?	cortar el césped	cortar el césped
? el jardinero siempre lo hace, pero a algunas personas también les gusta hacerlo en su jardín	cortar el césped	cortar el césped
?se hace con una podadora de sacate	cortar el césped	cortar el césped
tengo una podadora y tijeras para ?	cortar el césped	cortar el césped
Yo uso la coratdora de césped para ?	cosrtar el césped	cortar el césped
Si hace mucho tiempo que no haces tareas de mantenimiento en tu jardín, probablemente necesites ? .	cortar el césped	cortar el césped
? Hacer mantenimiento al pasto	cortar el césped	cortar el césped
El jardinero Julio es el encargado de ? de mi patio delantero.	cortar el césped	cortar el césped
El jardinero no tiene que ?, eso lo hace mi esposo el fin de semana.	cortar el césped	cortar el césped
La gente pone sus camas en ? .	el dormitorio	el dormitorio
Seguro tu amigo se quedó dormido en ?.	el dormitorio	el dormitorio
En ? de la casa de mamá, es el único sitio donde duermo tranquilo.	el dormitorio	el dormitorio
algunos le dicen cuarto, otros le dicen recámara, pero su nombre oficial es...?	el dormitorio	el dormitorio
? es la habitación donde dormimos.	dormitorio	el dormitorio
